"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"06-baseline-ER-power-law-Tang"
"06/17/2026 16:24:51:169 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","power-law-lambda","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"67","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","9","1","9","0.0020555555555555557","0.10999999999999999","5.979"
"69","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","14","1","14","0.0018928571428571436","0.10999999999999999","5.979"
"70","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","9","1","9","0.0021111111111111113","0.10999999999999999","5.979"
"68","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","30","1","30","0.0029000000000000007","0.10999999999999999","5.979"
"71","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","19","1","19","0.0015000000000000002","0.10999999999999999","5.979"
"72","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.022","13","1","13","0.0019230769230769232","0.10999999999999999","5.979"
"73","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","10","1","10","0.0021500000000000004","0.12","5.979"
"74","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","8","1","8","0.0015","0.12","5.979"
"75","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","29","1","29","0.0027068965517241385","0.12","5.979"
"77","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","16","1","16","0.0015625000000000003","0.12","5.979"
"76","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","13","1","13","0.0010769230769230773","0.12","5.979"
"78","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","9","1","9","0.001666666666666667","0.12","5.979"
"79","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","5","1","5","0.0018","0.12","5.979"
"81","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","9","1","9","0.0013333333333333333","0.12","5.979"
"84","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","12","1","12","0.002","0.12","5.979"
"83","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","16","1","16","0.0017187500000000007","0.12","5.979"
"80","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","12","1","12","0.0020833333333333333","0.12","5.979"
"82","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","20","1","20","0.0023500000000000005","0.12","5.979"
"85","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","10","1","10","0.0017500000000000003","0.12","5.979"
"87","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","9","1","9","0.001444444444444445","0.12","5.979"
"86","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","24","1","24","0.0017083333333333336","0.12","5.979"
"88","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","6","1","6","0.0023333333333333335","0.12","5.979"
"89","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","7","1","7","0.0017142857142857146","0.12","5.979"
"90","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","19","1","19","0.0017894736842105268","0.12","5.979"
"91","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","11","1","11","0.0024545454545454545","0.12","5.979"
"93","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","15","1","15","0.0022333333333333333","0.12","5.979"
"92","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","18","1","18","0.002083333333333334","0.12","5.979"
"95","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","11","1","11","0.0029090909090909093","0.12","5.979"
"94","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","14","1","14","0.0010357142857142859","0.12","5.979"
"96","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.024","20","1","20","0.0018750000000000006","0.12","5.979"
"97","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","4.24","10000","0.026","9","1","9","0.001611111111111111","0.13","5.979"
