"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"05-baseline-empirical-threshold-ER"
"06/17/2026 15:47:41:073 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"111","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","36","1","36","0.0012500000000000007","0.13","5.979"
"112","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","35","1","35","0.0017714285714285722","0.13","5.979"
"113","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","2","1","2","2.5E-4","0.13","5.979"
"114","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","46","1","46","0.0024673913043478275","0.13","5.979"
"115","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","18","1","18","0.001277777777777778","0.13","5.979"
"116","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","20","1","20","9.000000000000003E-4","0.13","5.979"
"117","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","8","1","8","8.125000000000001E-4","0.13","5.979"
"118","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","21","1","21","0.0010238095238095243","0.13","5.979"
"119","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","37","1","37","0.0019189189189189198","0.13","5.979"
"120","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.026","32","1","32","0.0022031250000000007","0.13","5.979"
"121","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","19","1","19","9.210526315789478E-4","0.14","5.979"
"122","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","18","1","18","0.0024166666666666672","0.14","5.979"
"123","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","34","1","34","0.001602941176470589","0.14","5.979"
"124","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","9","1","9","8.888888888888891E-4","0.14","5.979"
"125","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","16","1","16","9.687500000000002E-4","0.14","5.979"
"126","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","32","1","32","0.002078125000000001","0.14","5.979"
"127","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","13","1","13","0.0017692307692307697","0.14","5.979"
"128","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","6","1","6","7.500000000000001E-4","0.14","5.979"
"129","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","7","1","7","0.0014999999999999998","0.14","5.979"
"130","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","60","1","60","0.002125000000000001","0.14","5.979"
"131","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","18","1","18","0.0014166666666666672","0.14","5.979"
"133","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","6","1","6","0.0014166666666666668","0.14","5.979"
"132","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","37","1","37","0.0010405405405405409","0.14","5.979"
"134","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","24","1","24","0.0026875000000000007","0.14","5.979"
"135","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","32","1","32","8.750000000000003E-4","0.14","5.979"
"136","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","9","1","9","0.0014444444444444444","0.14","5.979"
"137","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","44","1","44","0.0016818181818181823","0.14","5.979"
"138","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","11","1","11","9.545454545454548E-4","0.14","5.979"
"140","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","36","1","36","0.001486111111111112","0.14","5.979"
"139","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","73","1","73","0.001513698630136987","0.14","5.979"
"141","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","51","1","51","7.450980392156868E-4","0.14","5.979"
"142","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","2","1","2","2.5E-4","0.14","5.979"
"143","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","11","1","11","0.0013181818181818182","0.14","5.979"
"144","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.028","18","1","18","8.055555555555557E-4","0.14","5.979"
"145","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","3","1","3","8.333333333333334E-4","0.15","5.979"
"147","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","13","1","13","0.001076923076923077","0.15","5.979"
"146","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","37","1","37","0.001945945945945947","0.15","5.979"
"148","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","7","1","7","0.0010714285714285715","0.15","5.979"
"149","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","13","1","13","0.001884615384615385","0.15","5.979"
"151","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","8","1","8","5.625000000000001E-4","0.15","5.979"
"150","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","10000","0.03","56","1","56","0.0031607142857142875","0.15","5.979"
