"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Dossiers\master-rmai-researchproject-virussimulation\netlogo\virus_simulation.nlogox"
"07-baseline-ER-lognormal-Tang"
"06/17/2026 17:16:22:190 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-2","2","-2","2"
"[run number]","interconnection-structure","network-type","expt-seed","num-nodes","avg-degree","rewiring-prob","initial-infected","recovery-mean","lognormal-sigma","max-ticks","infection-prob","[step]","bs-out-extinct","bs-out-final-tick","bs-out-late-mean-prevalence","bs-out-tau-sim","bs-out-mean-degree"
"97","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","11","1","11","7.272727272727276E-4","0.13","5.979"
"98","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","26","1","26","0.0019038461538461542","0.13","5.979"
"100","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","12","1","12","9.166666666666669E-4","0.13","5.979"
"99","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","7","1","7","6.428571428571429E-4","0.13","5.979"
"101","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","12","1","12","0.0015416666666666669","0.13","5.979"
"103","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","9","1","9","0.0013333333333333333","0.13","5.979"
"102","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","16","1","16","8.125000000000003E-4","0.13","5.979"
"104","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","8","1","8","0.0010625","0.13","5.979"
"105","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","14","1","14","0.001035714285714286","0.13","5.979"
"106","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","17","1","17","9.705882352941177E-4","0.13","5.979"
"107","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","8","1","8","0.0010625","0.13","5.979"
"108","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","11","1","11","0.0016363636363636365","0.13","5.979"
"109","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","15","1","15","0.0011666666666666668","0.13","5.979"
"110","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","6","1","6","0.001","0.13","5.979"
"111","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","12","1","12","0.0010833333333333335","0.13","5.979"
"112","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","19","1","19","7.10526315789474E-4","0.13","5.979"
"113","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","7","1","7","0.001142857142857143","0.13","5.979"
"115","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","26","1","26","6.923076923076927E-4","0.13","5.979"
"114","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","65","1","65","0.0020076923076923084","0.13","5.979"
"116","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","26","1","26","0.001211538461538462","0.13","5.979"
"117","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","19","1","19","6.052631578947372E-4","0.13","5.979"
"118","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","10","1","10","0.0010000000000000002","0.13","5.979"
"119","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","45","1","45","0.0013555555555555565","0.13","5.979"
"120","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.026","7","1","7","0.0013571428571428573","0.13","5.979"
"121","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","13","1","13","6.923076923076927E-4","0.14","5.979"
"122","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","38","1","38","0.0017105263157894742","0.14","5.979"
"123","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","37","1","37","0.0012027027027027035","0.14","5.979"
"124","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","13","1","13","8.461538461538464E-4","0.14","5.979"
"126","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","14","1","14","0.001571428571428572","0.14","5.979"
"125","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","57","1","57","0.0016929824561403518","0.14","5.979"
"127","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","25","1","25","0.0011400000000000004","0.14","5.979"
"128","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","7","1","7","8.571428571428572E-4","0.14","5.979"
"129","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","14","1","14","0.0015000000000000002","0.14","5.979"
"130","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","14","1","14","9.285714285714288E-4","0.14","5.979"
"131","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","4","1","4","0.0015","0.14","5.979"
"132","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","14","1","14","0.0015000000000000002","0.14","5.979"
"133","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","15","1","15","0.0013333333333333335","0.14","5.979"
"135","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","26","1","26","9.038461538461543E-4","0.14","5.979"
"136","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","39","1","39","8.461538461538467E-4","0.14","5.979"
"134","other","Erdos-Renyi (random)","10001","2000","6","0.07","5","5","1","10000","0.028","108","1","108","0.0026944444444444464","0.14","5.979"
